
#################################################################
Log started at 2025-06-12_14-13-00 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 0978, Got: 2c08
Checksum failed. Expected: bc84, Got: 3645
Checksum failed. Expected: eb65, Got: 4083
Checksum failed. Expected: ad81, Got: 4ac0
Checksum failed. Expected: 3c82, Got: 54fd
Checksum failed. Expected: 90fa, Got: 5f3b
Checksum failed. Expected: bea3, Got: 6978
Checksum failed. Expected: 7451, Got: 73b6
Checksum failed. Expected: 207b, Got: 7df3
Checksum failed. Expected: 0c7b, Got: 8831
Checksum failed. Expected: a8de, Got: 926e
Checksum failed. Expected: 1032, Got: 9cac
Checksum failed. Expected: afcd, Got: a6e9
Checksum failed. Expected: cce8, Got: b126
Checksum failed. Expected: fdc8, Got: bb64
Checksum failed. Expected: b576, Got: c5a1
Checksum failed. Expected: 8437, Got: cfdf
Checksum failed. Expected: bb5a, Got: da1c
Checksum failed. Expected: 3a94, Got: e45a
Checksum failed. Expected: 00dc, Got: ee97
Checksum failed. Expected: d4d4, Got: f8d4
Checksum failed. Expected: f511, Got: 0312
Checksum failed. Expected: 0879, Got: 0d4f
Checksum failed. Expected: 3fb2, Got: 178d
Checksum failed. Expected: 0d52, Got: 21ca
Checksum failed. Expected: f1fa, Got: 2c08
Checksum failed. Expected: aa9c, Got: 3645
Checksum failed. Expected: db93, Got: 4083
Checksum failed. Expected: 3000, Got: 4ac0
Checksum failed. Expected: 75d3, Got: 54fd
Checksum failed. Expected: 8ba1, Got: 5f3b
Checksum failed. Expected: 64a3, Got: 6978
Checksum failed. Expected: 3dd2, Got: 73b6
Checksum failed. Expected: f8a1, Got: 7df3
Checksum failed. Expected: cda4, Got: 8831
Checksum failed. Expected: 93d5, Got: 926e
Checksum failed. Expected: 1fb5, Got: 9cac
Checksum failed. Expected: 1d65, Got: a6e9
Checksum failed. Expected: 6343, Got: b126
Checksum failed. Expected: b8af, Got: bb64
Checksum failed. Expected: c504, Got: c5a1
Checksum failed. Expected: b530, Got: cfdf
Checksum failed. Expected: f5b6, Got: da1c
Checksum failed. Expected: b9e7, Got: e45a
Checksum failed. Expected: 1175, Got: ee97
Checksum failed. Expected: 32bc, Got: f8d4
Checksum failed. Expected: 9c1c, Got: 0312
Checksum failed. Expected: 945b, Got: 0d4f
Checksum failed. Expected: f457, Got: 178d
Checksum failed. Expected: 2643, Got: 21ca
Checksum failed. Expected: a8b5, Got: 2c08
Checksum failed. Expected: 161e, Got: 3645
Checksum failed. Expected: 2f0d, Got: 4083
Checksum failed. Expected: bef8, Got: 4ac0
Checksum failed. Expected: 2faf, Got: 54fd
Checksum failed. Expected: 2e80, Got: 5f3b
Checksum failed. Expected: d772, Got: 6978
Checksum failed. Expected: b4cd, Got: 73b6
Checksum failed. Expected: 49fa, Got: 7df3
Checksum failed. Expected: 6615, Got: 8831
Checksum failed. Expected: 7ecc, Got: 926e
Checksum failed. Expected: 3264, Got: 9cac
Checksum failed. Expected: 8af2, Got: a6e9
Checksum failed. Expected: cfc5, Got: b126
Checksum failed. Expected: fa63, Got: bb64
Checksum failed. Expected: d592, Got: c5a1
Checksum failed. Expected: aba0, Got: cfdf
Checksum failed. Expected: 238e, Got: da1c
Checksum failed. Expected: 942e, Got: e45a
Checksum failed. Expected: 76aa, Got: ee97
Checksum failed. Expected: 757b, Got: f8d4
Checksum failed. Expected: 3377, Got: 0312
Checksum failed. Expected: 43be, Got: 0d4f
Checksum failed. Expected: b25f, Got: 178d
Checksum failed. Expected: 7dde, Got: 21ca
Checksum failed. Expected: 1116, Got: 2c08
Checksum failed. Expected: 6a98, Got: 3645
Checksum failed. Expected: dd65, Got: 4083
Checksum failed. Expected: d2b2, Got: 4ac0
Checksum failed. Expected: f50f, Got: 54fd
Checksum failed. Expected: c4d0, Got: 5f3b
Checksum failed. Expected: 1605, Got: 6978
Checksum failed. Expected: 2abd, Got: 73b6
Checksum failed. Expected: f968, Got: 7df3
Checksum failed. Expected: 7277, Got: 8831
Checksum failed. Expected: 1b69, Got: 926e

Exiting...
