
#################################################################
Log started at 2025-06-12_14-01-29 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 50af, Got: 872b
Checksum failed. Expected: 48eb, Got: 9ba5
Checksum failed. Expected: ca39, Got: b020
Checksum failed. Expected: a20c, Got: c49b
Checksum failed. Expected: b369, Got: d916
Checksum failed. Expected: 1e8d, Got: ed91
Checksum failed. Expected: a813, Got: 020c
Checksum failed. Expected: 26f0, Got: 1687
Checksum failed. Expected: 13c1, Got: 2b02
Checksum failed. Expected: 134c, Got: 3f7c
Checksum failed. Expected: 80b3, Got: 53f7
Checksum failed. Expected: d4f1, Got: 6872
Checksum failed. Expected: b632, Got: 7ced
Checksum failed. Expected: 3fb7, Got: 9168
Checksum failed. Expected: a499, Got: a5e3
Checksum failed. Expected: d661, Got: ba5e
Checksum failed. Expected: 8bb3, Got: ced9
Checksum failed. Expected: 893f, Got: e353
Checksum failed. Expected: b3ae, Got: f7ce
Checksum failed. Expected: 886d, Got: 0c49
Checksum failed. Expected: 26aa, Got: 20c4
Checksum failed. Expected: 9727, Got: 353f
Checksum failed. Expected: 97b2, Got: 49ba
Checksum failed. Expected: aa25, Got: 5e35
Checksum failed. Expected: f5e9, Got: 72b0
Checksum failed. Expected: 010f, Got: 872b
Checksum failed. Expected: 1681, Got: 9ba5
Checksum failed. Expected: a027, Got: b020
Checksum failed. Expected: 372f, Got: c49b
Checksum failed. Expected: f0c4, Got: d916
Checksum failed. Expected: 6eb9, Got: ed91
Checksum failed. Expected: e142, Got: 020c
Checksum failed. Expected: 9bb3, Got: 1687
Checksum failed. Expected: 4f11, Got: 2b02
Checksum failed. Expected: d027, Got: 3f7c
Checksum failed. Expected: 0c73, Got: 53f7
Checksum failed. Expected: f302, Got: 6872
Checksum failed. Expected: b5e3, Got: 7ced
Checksum failed. Expected: 640a, Got: 9168
Checksum failed. Expected: 733a, Got: a5e3
Checksum failed. Expected: 58b3, Got: ba5e
Checksum failed. Expected: f713, Got: ced9
Checksum failed. Expected: f59f, Got: e353
Checksum failed. Expected: 222f, Got: f7ce
Checksum failed. Expected: ec75, Got: 0c49
Checksum failed. Expected: 79f7, Got: 20c4
Checksum failed. Expected: b84e, Got: 353f
Checksum failed. Expected: ec15, Got: 49ba
Checksum failed. Expected: 77b0, Got: 5e35
Checksum failed. Expected: c9c1, Got: 72b0
Checksum failed. Expected: 0f65, Got: 872b
Checksum failed. Expected: fa09, Got: 9ba5
Checksum failed. Expected: d956, Got: b020
Checksum failed. Expected: e139, Got: c49b
Checksum failed. Expected: c9d3, Got: d916
Checksum failed. Expected: 2b94, Got: ed91
Checksum failed. Expected: 9c07, Got: 020c
Checksum failed. Expected: 255d, Got: 1687
Checksum failed. Expected: b103, Got: 2b02
Checksum failed. Expected: e8eb, Got: 3f7c
Checksum failed. Expected: 2542, Got: 53f7
Checksum failed. Expected: ee87, Got: 6872
Checksum failed. Expected: ed07, Got: 7ced
Checksum failed. Expected: d8c2, Got: 9168
Checksum failed. Expected: 956c, Got: a5e3
Checksum failed. Expected: 380f, Got: ba5e
Checksum failed. Expected: 7b7b, Got: ced9
Checksum failed. Expected: 3c68, Got: e353
Checksum failed. Expected: 6b0e, Got: f7ce
Checksum failed. Expected: cabb, Got: 0c49
Checksum failed. Expected: 4dcf, Got: 20c4
Checksum failed. Expected: 0022, Got: 353f
Checksum failed. Expected: 9514, Got: 49ba
Checksum failed. Expected: ef94, Got: 5e35
Checksum failed. Expected: b6ac, Got: 72b0
Checksum failed. Expected: 5418, Got: 872b
Checksum failed. Expected: 528d, Got: 9ba5
Checksum failed. Expected: ffb4, Got: b020
Checksum failed. Expected: c9ed, Got: c49b
Checksum failed. Expected: a1d7, Got: d916
Checksum failed. Expected: a162, Got: ed91
Checksum failed. Expected: 170c, Got: 020c
Checksum failed. Expected: 1674, Got: 1687
Checksum failed. Expected: f5ab, Got: 2b02
Checksum failed. Expected: da0d, Got: 3f7c
Checksum failed. Expected: 487f, Got: 53f7
Checksum failed. Expected: eb22, Got: 6872
Checksum failed. Expected: dc08, Got: 7ced
Checksum failed. Expected: 7c8a, Got: 9168
Checksum failed. Expected: 5673, Got: a5e3
Checksum failed. Expected: 8625, Got: ba5e
Checksum failed. Expected: 9a8c, Got: ced9
Checksum failed. Expected: 8652, Got: e353
Checksum failed. Expected: 0994, Got: f7ce
Checksum failed. Expected: c435, Got: 0c49
Checksum failed. Expected: 24c8, Got: 20c4
Checksum failed. Expected: 5159, Got: 353f
Checksum failed. Expected: a68b, Got: 49ba
Checksum failed. Expected: 59de, Got: 5e35
Checksum failed. Expected: 2422, Got: 72b0
Checksum failed. Expected: 9389, Got: 872b
Checksum failed. Expected: b053, Got: 9ba5
Checksum failed. Expected: 05b2, Got: b020
Checksum failed. Expected: a628, Got: c49b
Checksum failed. Expected: b359, Got: d916
Checksum failed. Expected: 916e, Got: ed91
Checksum failed. Expected: 8261, Got: 020c
Checksum failed. Expected: 4109, Got: 1687
Checksum failed. Expected: f351, Got: 2b02
Checksum failed. Expected: a9ae, Got: 3f7c
Checksum failed. Expected: afa8, Got: 53f7
Checksum failed. Expected: 9c79, Got: 6872
