
#################################################################
Log started at 2025-06-12_14-01-03 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 7bd9, Got: dd2f
Checksum failed. Expected: 4823, Got: f1a9
Checksum failed. Expected: 9415, Got: 0624
Checksum failed. Expected: be56, Got: 1a9f
Checksum failed. Expected: 3d6d, Got: 2f1a
Checksum failed. Expected: 7fce, Got: 4395
Checksum failed. Expected: 0c7f, Got: 5810
Checksum failed. Expected: 5638, Got: 6c8b
Checksum failed. Expected: f28e, Got: 8106
Checksum failed. Expected: 417e, Got: 9581
Checksum failed. Expected: ddd4, Got: a9fb
Checksum failed. Expected: 978a, Got: be76
Checksum failed. Expected: 6a26, Got: d2f1
Checksum failed. Expected: 1b63, Got: e76c
Checksum failed. Expected: 0607, Got: fbe7
Checksum failed. Expected: 2920, Got: 1062
Checksum failed. Expected: 8587, Got: 24dd
Checksum failed. Expected: a8aa, Got: 3958
Checksum failed. Expected: b3ae, Got: 4dd2
Checksum failed. Expected: 2015, Got: 624d
Checksum failed. Expected: 96b2, Got: 76c8
Checksum failed. Expected: 3a60, Got: 8b43
Checksum failed. Expected: 6d1c, Got: 9fbe
Checksum failed. Expected: 6ec9, Got: b439
Checksum failed. Expected: f200, Got: c8b4
Checksum failed. Expected: fd1b, Got: dd2f
Checksum failed. Expected: 5037, Got: f1a9
Checksum failed. Expected: ade4, Got: 0624
Checksum failed. Expected: 6fad, Got: 1a9f
Checksum failed. Expected: eba3, Got: 2f1a
Checksum failed. Expected: 3a93, Got: 4395
Checksum failed. Expected: 4077, Got: 5810
Checksum failed. Expected: 6599, Got: 6c8b
Checksum failed. Expected: 9b8d, Got: 8106
Checksum failed. Expected: 8d7e, Got: 9581
Checksum failed. Expected: 677e, Got: a9fb
Checksum failed. Expected: 61f4, Got: be76
Checksum failed. Expected: 411f, Got: d2f1
Checksum failed. Expected: ab4f, Got: e76c
Checksum failed. Expected: 4362, Got: fbe7
Checksum failed. Expected: 6fde, Got: 1062
Checksum failed. Expected: c0cc, Got: 24dd
Checksum failed. Expected: aea8, Got: 3958
Checksum failed. Expected: e37a, Got: 4dd2
Checksum failed. Expected: 6b0a, Got: 624d
Checksum failed. Expected: 237d, Got: 76c8
Checksum failed. Expected: 4acc, Got: 8b43
Checksum failed. Expected: 0455, Got: 9fbe
Checksum failed. Expected: af50, Got: b439
Checksum failed. Expected: fd35, Got: c8b4
Checksum failed. Expected: dc6c, Got: dd2f
Checksum failed. Expected: fa41, Got: f1a9
Checksum failed. Expected: 53c2, Got: 0624
Checksum failed. Expected: 8024, Got: 1a9f
Checksum failed. Expected: 5a24, Got: 2f1a
Checksum failed. Expected: 5362, Got: 4395
Checksum failed. Expected: 1770, Got: 5810
Checksum failed. Expected: 042a, Got: 6c8b
Checksum failed. Expected: e577, Got: 8106
Checksum failed. Expected: 2b04, Got: 9581
Checksum failed. Expected: 503d, Got: a9fb
Checksum failed. Expected: cb3e, Got: be76
Checksum failed. Expected: 1d4f, Got: d2f1
Checksum failed. Expected: 3c46, Got: e76c
Checksum failed. Expected: 1c71, Got: fbe7
Checksum failed. Expected: febf, Got: 1062
Checksum failed. Expected: 1850, Got: 24dd
Checksum failed. Expected: db53, Got: 3958
Checksum failed. Expected: 789d, Got: 4dd2
Checksum failed. Expected: 937e, Got: 624d
Checksum failed. Expected: 2a86, Got: 76c8
Checksum failed. Expected: d8a2, Got: 8b43
Checksum failed. Expected: 3f9a, Got: 9fbe
Checksum failed. Expected: 7699, Got: b439
Checksum failed. Expected: d965, Got: c8b4
Checksum failed. Expected: 6e6e, Got: dd2f
Checksum failed. Expected: 949b, Got: f1a9
Checksum failed. Expected: 3d8c, Got: 0624
Checksum failed. Expected: 270d, Got: 1a9f
Checksum failed. Expected: 0002, Got: 2f1a
Checksum failed. Expected: 7168, Got: 4395
Checksum failed. Expected: 013a, Got: 5810
Checksum failed. Expected: b68c, Got: 6c8b
Checksum failed. Expected: 8b55, Got: 8106
Checksum failed. Expected: 72cd, Got: 9581
Checksum failed. Expected: 65e0, Got: a9fb
Checksum failed. Expected: dfd6, Got: be76
Checksum failed. Expected: 2137, Got: d2f1
Checksum failed. Expected: 0cf2, Got: e76c
Checksum failed. Expected: 095c, Got: fbe7
Checksum failed. Expected: ba8f, Got: 1062
