
#################################################################
Log started at 2025-06-12_13-59-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a77e, Got: 8594
Checksum failed. Expected: 4eb4, Got: 7565
Checksum failed. Expected: 3699, Got: 7565
Checksum failed. Expected: cab9, Got: 7565
Checksum failed. Expected: 60e5, Got: 7565
Checksum failed. Expected: ccbd, Got: 7565
Checksum failed. Expected: fe21, Got: 7565
Checksum failed. Expected: dcdd, Got: 7565
Checksum failed. Expected: d9d7, Got: 7565
Checksum failed. Expected: 2875, Got: 7565
Checksum failed. Expected: 1e61, Got: 7565
Checksum failed. Expected: f209, Got: 7565
Checksum failed. Expected: 2065, Got: 7565
Checksum failed. Expected: fc1d, Got: 7565
Checksum failed. Expected: 52c9, Got: 7565
Checksum failed. Expected: 4dbf, Got: 7565
Checksum failed. Expected: 8b3b, Got: 7565
Checksum failed. Expected: 8127, Got: 7565
Checksum failed. Expected: 3fa3, Got: 7565
Checksum failed. Expected: 0835, Got: 7565
Checksum failed. Expected: 7917, Got: 7565
Checksum failed. Expected: 3997, Got: 7565
Checksum failed. Expected: 53cb, Got: 7565
Checksum failed. Expected: 46b1, Got: 7565
Checksum failed. Expected: 9d5f, Got: 7565
Checksum failed. Expected: dfe3, Got: 7565
Checksum failed. Expected: d3cb, Got: 7565
Checksum failed. Expected: 43ab, Got: 7565
Checksum failed. Expected: edff, Got: 7565
Checksum failed. Expected: a977, Got: 7565
Checksum failed. Expected: 7e21, Got: 7565
Checksum failed. Expected: 256f, Got: 7565
Checksum failed. Expected: c0a5, Got: 7565
Checksum failed. Expected: d5cf, Got: 7565
Checksum failed. Expected: b085, Got: 7565
Checksum failed. Expected: 1e61, Got: 7565
Checksum failed. Expected: 0937, Got: 7565
Checksum failed. Expected: 3895, Got: 7565
Checksum failed. Expected: 43ab, Got: 7565
Checksum failed. Expected: 154f, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: 8f43, Got: 7565
Checksum failed. Expected: 246d, Got: 7565
Checksum failed. Expected: fa19, Got: 7565
Checksum failed. Expected: 53cb, Got: 7565
Checksum failed. Expected: bc9d, Got: 7565
Checksum failed. Expected: 348d, Got: 7565
Checksum failed. Expected: 3c9d, Got: 7565
Checksum failed. Expected: b895, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: c7b3, Got: 7565
Checksum failed. Expected: 66f1, Got: 7565
Checksum failed. Expected: 2e81, Got: 7565
Checksum failed. Expected: 8e41, Got: 7565
Checksum failed. Expected: aa79, Got: 7565
Checksum failed. Expected: fc1d, Got: 7565
Checksum failed. Expected: 236b, Got: 7565
Checksum failed. Expected: 1045, Got: 7565
Checksum failed. Expected: 7107, Got: 7565
Checksum failed. Expected: ac7d, Got: 7565
Checksum failed. Expected: d4cd, Got: 7565
Checksum failed. Expected: 134b, Got: 7565
Checksum failed. Expected: 5ee1, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: 61e7, Got: 7565
Checksum failed. Expected: 832b, Got: 7565
Checksum failed. Expected: 7005, Got: 7565
Checksum failed. Expected: 49b7, Got: 7565
Checksum failed. Expected: 3997, Got: 7565
Checksum failed. Expected: c5af, Got: 7565
Checksum failed. Expected: b289, Got: 7565
Checksum failed. Expected: 0835, Got: 7565
Checksum failed. Expected: 46b1, Got: 7565
Checksum failed. Expected: 730b, Got: 7565
Checksum failed. Expected: 8c3d, Got: 7565
Checksum failed. Expected: 358f, Got: 7565
Checksum failed. Expected: 2e81, Got: 7565
Checksum failed. Expected: 1957, Got: 7565
Checksum failed. Expected: 9b5b, Got: 7565
Checksum failed. Expected: 2875, Got: 7565
Checksum failed. Expected: 1045, Got: 7565
Checksum failed. Expected: 5ee1, Got: 7565
Checksum failed. Expected: d6d1, Got: 7565
Checksum failed. Expected: 9f63, Got: 7565
Checksum failed. Expected: c2a9, Got: 7565
Checksum failed. Expected: 68f5, Got: 7565
Checksum failed. Expected: 2f83, Got: 7565
Checksum failed. Expected: 42a9, Got: 7565
Checksum failed. Expected: 842d, Got: 7565
Checksum failed. Expected: a46d, Got: 7565
Checksum failed. Expected: 2671, Got: 7565
Checksum failed. Expected: 2977, Got: 7565
Checksum failed. Expected: 43ab, Got: 7565
Checksum failed. Expected: 8631, Got: 7565
Checksum failed. Expected: ad7f, Got: 7565
Checksum failed. Expected: f107, Got: 7565
Checksum failed. Expected: 49b7, Got: 7565
Checksum failed. Expected: 5cdd, Got: 7565
Checksum failed. Expected: e9f7, Got: 7565
Checksum failed. Expected: 4bbb, Got: 7565
Checksum failed. Expected: 730b, Got: 7565
Checksum failed. Expected: 2671, Got: 7565
Checksum failed. Expected: 740d, Got: 7565
Checksum failed. Expected: 6af9, Got: 7565
Checksum failed. Expected: 45af, Got: 7565
Checksum failed. Expected: 5fe3, Got: 7565
Checksum failed. Expected: 65ef, Got: 7565
Checksum failed. Expected: 8d3f, Got: 7565
Checksum failed. Expected: 2c7d, Got: 7565
Checksum failed. Expected: d0c5, Got: 7565
Checksum failed. Expected: fa19, Got: 7565
Checksum failed. Expected: f30b, Got: 7565
Checksum failed. Expected: c0a5, Got: 7565
Checksum failed. Expected: 50c5, Got: 7565
Checksum failed. Expected: 348d, Got: 7565
Checksum failed. Expected: f611, Got: 7565
Checksum failed. Expected: 2d7f, Got: 7565
Checksum failed. Expected: f611, Got: 7565
Checksum failed. Expected: 52c9, Got: 7565
Checksum failed. Expected: 1957, Got: 7565
Checksum failed. Expected: 58d5, Got: 7565
Checksum failed. Expected: 46b1, Got: 7565
Checksum failed. Expected: 8e41, Got: 7565
Checksum failed. Expected: dad9, Got: 7565
Checksum failed. Expected: a977, Got: 7565
Checksum failed. Expected: cdbf, Got: 7565
Checksum failed. Expected: 66f1, Got: 7565
Checksum failed. Expected: af83, Got: 7565
Checksum failed. Expected: 8b3b, Got: 7565
Checksum failed. Expected: 4dbf, Got: 7565
Checksum failed. Expected: 48b5, Got: 7565
Checksum failed. Expected: e0e5, Got: 7565
Checksum failed. Expected: 2875, Got: 7565
Checksum failed. Expected: 2269, Got: 7565
Checksum failed. Expected: ee01, Got: 7565
Checksum failed. Expected: e2e9, Got: 7565
Checksum failed. Expected: 1a59, Got: 7565
Checksum failed. Expected: 2a79, Got: 7565
Checksum failed. Expected: 2a79, Got: 7565
Checksum failed. Expected: bc9d, Got: 7565
Checksum failed. Expected: 0d3f, Got: 7565
Checksum failed. Expected: 7815, Got: 7565
Checksum failed. Expected: 052f, Got: 7565
Checksum failed. Expected: 0c3d, Got: 7565
Checksum failed. Expected: b48d, Got: 7565
Checksum failed. Expected: cfc3, Got: 7565
Checksum failed. Expected: 9651, Got: 7565
Checksum failed. Expected: 68f5, Got: 7565
Checksum failed. Expected: 1957, Got: 7565
Checksum failed. Expected: 1b5b, Got: 7565
Checksum failed. Expected: 2c7d, Got: 7565
Checksum failed. Expected: 2773, Got: 7565
Checksum failed. Expected: dee1, Got: 7565
Checksum failed. Expected: 4dbf, Got: 7565
