
#################################################################
Log started at 2025-06-12_14-11-35 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: b624, Got: b645
Checksum failed. Expected: 2569, Got: c083
Checksum failed. Expected: 0d27, Got: cac0
Checksum failed. Expected: acd8, Got: d4fd
Checksum failed. Expected: 1c84, Got: df3b
Checksum failed. Expected: fdde, Got: e978
Checksum failed. Expected: 70ab, Got: f3b6
Checksum failed. Expected: d19c, Got: fdf3
Checksum failed. Expected: d7b0, Got: 0831
Checksum failed. Expected: f37b, Got: 126e
Checksum failed. Expected: 43c7, Got: 1cac
Checksum failed. Expected: b789, Got: 26e9
Checksum failed. Expected: 4474, Got: 3126
Checksum failed. Expected: b0dd, Got: 3b64
Checksum failed. Expected: 3b9c, Got: 45a1
Checksum failed. Expected: b3a0, Got: 4fdf
Checksum failed. Expected: 3e5f, Got: 5a1c
Checksum failed. Expected: 7ab8, Got: 645a
Checksum failed. Expected: d888, Got: 6e97
Checksum failed. Expected: a107, Got: 78d4
Checksum failed. Expected: 2cdc, Got: 8312
Checksum failed. Expected: 18af, Got: 8d4f
Checksum failed. Expected: 1249, Got: 978d
Checksum failed. Expected: dfde, Got: a1ca
Checksum failed. Expected: e0c5, Got: ac08
Checksum failed. Expected: 2fd9, Got: b645
Checksum failed. Expected: 5236, Got: c083
Checksum failed. Expected: d387, Got: cac0
Checksum failed. Expected: 4eac, Got: d4fd
Checksum failed. Expected: 8f53, Got: df3b
Checksum failed. Expected: c128, Got: e978
Checksum failed. Expected: ebd2, Got: f3b6
Checksum failed. Expected: e661, Got: fdf3
Checksum failed. Expected: 1a6f, Got: 0831
Checksum failed. Expected: ffdd, Got: 126e
Checksum failed. Expected: 4d13, Got: 1cac
Checksum failed. Expected: 4260, Got: 26e9
Checksum failed. Expected: 20c6, Got: 3126
Checksum failed. Expected: 7748, Got: 3b64
Checksum failed. Expected: 3538, Got: 45a1
Checksum failed. Expected: 73be, Got: 4fdf
Checksum failed. Expected: 94ef, Got: 5a1c
Checksum failed. Expected: 6078, Got: 645a
Checksum failed. Expected: d545, Got: 6e97
Checksum failed. Expected: ced4, Got: 78d4
Checksum failed. Expected: 7b1f, Got: 8312
Checksum failed. Expected: 96f7, Got: 8d4f
Checksum failed. Expected: bd80, Got: 978d
Checksum failed. Expected: 12ed, Got: a1ca
Checksum failed. Expected: d1fe, Got: ac08
Checksum failed. Expected: b14d, Got: b645
Checksum failed. Expected: 61b9, Got: c083
Checksum failed. Expected: 80d4, Got: cac0
Checksum failed. Expected: 2b09, Got: d4fd
Checksum failed. Expected: 3874, Got: df3b
Checksum failed. Expected: cc7f, Got: e978
Checksum failed. Expected: 2e91, Got: f3b6
Checksum failed. Expected: a148, Got: fdf3
Checksum failed. Expected: 1300, Got: 0831
Checksum failed. Expected: 1bef, Got: 126e
Checksum failed. Expected: b88a, Got: 1cac
Checksum failed. Expected: 6088, Got: 26e9
Checksum failed. Expected: 24d0, Got: 3126
Checksum failed. Expected: 6ec3, Got: 3b64
Checksum failed. Expected: 5897, Got: 45a1
Checksum failed. Expected: f427, Got: 4fdf
Checksum failed. Expected: e43d, Got: 5a1c
Checksum failed. Expected: 959d, Got: 645a
Checksum failed. Expected: 8c00, Got: 6e97
Checksum failed. Expected: 8ef2, Got: 78d4
Checksum failed. Expected: 8997, Got: 8312
Checksum failed. Expected: 8d72, Got: 8d4f
Checksum failed. Expected: 5e49, Got: 978d
Checksum failed. Expected: c045, Got: a1ca
Checksum failed. Expected: 2cc5, Got: ac08
Checksum failed. Expected: e45c, Got: b645
Checksum failed. Expected: 97e9, Got: c083

Exiting...
