
#################################################################
Log started at 2025-06-12_14-01-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: da39, Got: 1cac
Checksum failed. Expected: f056, Got: 3126
Checksum failed. Expected: 48bf, Got: 45a1
Checksum failed. Expected: 67b6, Got: 5a1c
Checksum failed. Expected: 9646, Got: 6e97
Checksum failed. Expected: 39e9, Got: 8312
Checksum failed. Expected: 9baa, Got: 978d
Checksum failed. Expected: e043, Got: ac08
Checksum failed. Expected: a00e, Got: c083
Checksum failed. Expected: 1080, Got: d4fd
Checksum failed. Expected: b65a, Got: e978
Checksum failed. Expected: 71ee, Got: fdf3
Checksum failed. Expected: e798, Got: 126e
Checksum failed. Expected: 0981, Got: 26e9
Checksum failed. Expected: 9f95, Got: 3b64
Checksum failed. Expected: e738, Got: 4fdf
Checksum failed. Expected: e4b9, Got: 645a
Checksum failed. Expected: c91b, Got: 78d4
Checksum failed. Expected: cf15, Got: 8d4f
Checksum failed. Expected: d1b6, Got: a1ca
Checksum failed. Expected: e108, Got: b645
Checksum failed. Expected: 3850, Got: cac0
Checksum failed. Expected: b97d, Got: df3b
Checksum failed. Expected: 7f8a, Got: f3b6
Checksum failed. Expected: bcc1, Got: 0831
Checksum failed. Expected: 9eea, Got: 1cac
Checksum failed. Expected: 2a90, Got: 3126
Checksum failed. Expected: 6e1d, Got: 45a1
Checksum failed. Expected: c150, Got: 5a1c
Checksum failed. Expected: 1fe5, Got: 6e97
Checksum failed. Expected: cd01, Got: 8312
Checksum failed. Expected: 201d, Got: 978d
Checksum failed. Expected: d47b, Got: ac08
Checksum failed. Expected: d727, Got: c083
Checksum failed. Expected: b01c, Got: d4fd
Checksum failed. Expected: 7440, Got: e978
Checksum failed. Expected: 0a3d, Got: fdf3
Checksum failed. Expected: 5403, Got: 126e
Checksum failed. Expected: 568c, Got: 26e9
Checksum failed. Expected: 93cd, Got: 3b64
Checksum failed. Expected: cbc0, Got: 4fdf
Checksum failed. Expected: 00a9, Got: 645a
Checksum failed. Expected: 7b7d, Got: 78d4
Checksum failed. Expected: 4a1a, Got: 8d4f
Checksum failed. Expected: 20d7, Got: a1ca
Checksum failed. Expected: 25b0, Got: b645
Checksum failed. Expected: bece, Got: cac0
Checksum failed. Expected: 0367, Got: df3b
Checksum failed. Expected: f984, Got: f3b6
Checksum failed. Expected: 1b92, Got: 0831
Checksum failed. Expected: 0d6b, Got: 1cac
Checksum failed. Expected: 8214, Got: 3126
Checksum failed. Expected: ec43, Got: 45a1
Checksum failed. Expected: da1f, Got: 5a1c
Checksum failed. Expected: ef91, Got: 6e97
Checksum failed. Expected: 4d3d, Got: 8312
Checksum failed. Expected: 07c6, Got: 978d
Checksum failed. Expected: 0447, Got: ac08
Checksum failed. Expected: abff, Got: c083
Checksum failed. Expected: 1850, Got: d4fd
Checksum failed. Expected: 3c94, Got: e978
Checksum failed. Expected: 6a19, Got: fdf3
Checksum failed. Expected: 7209, Got: 126e
Checksum failed. Expected: 4ef0, Got: 26e9
Checksum failed. Expected: 1e82, Got: 3b64
Checksum failed. Expected: a7f0, Got: 4fdf
Checksum failed. Expected: 6c09, Got: 645a
Checksum failed. Expected: 71cb, Got: 78d4
Checksum failed. Expected: 993b, Got: 8d4f
Checksum failed. Expected: 088b, Got: a1ca
Checksum failed. Expected: c120, Got: b645
Checksum failed. Expected: 2a2e, Got: cac0
Checksum failed. Expected: aa50, Got: df3b
Checksum failed. Expected: e885, Got: f3b6
Checksum failed. Expected: ad94, Got: 0831
Checksum failed. Expected: f62a, Got: 1cac
Checksum failed. Expected: 035b, Got: 3126
Checksum failed. Expected: 3738, Got: 45a1

Exiting...
