
#################################################################
Log started at 2025-06-12_14-11-55 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 0573, Got: b439
Checksum failed. Expected: d07a, Got: be76
Checksum failed. Expected: a57d, Got: c8b4
Checksum failed. Expected: 4418, Got: d2f1
Checksum failed. Expected: 227e, Got: dd2f
Checksum failed. Expected: 2c9b, Got: e76c
Checksum failed. Expected: 252a, Got: f1a9
Checksum failed. Expected: 540b, Got: fbe7
Checksum failed. Expected: 509b, Got: 0624
Checksum failed. Expected: bdf7, Got: 1062
Checksum failed. Expected: 9931, Got: 1a9f
Checksum failed. Expected: 166c, Got: 24dd
Checksum failed. Expected: 616b, Got: 2f1a
Checksum failed. Expected: a51c, Got: 3958
Checksum failed. Expected: c64d, Got: 4395
Checksum failed. Expected: 2433, Got: 4dd2
Checksum failed. Expected: d289, Got: 5810
Checksum failed. Expected: 8c36, Got: 624d
Checksum failed. Expected: 9fe3, Got: 6c8b
Checksum failed. Expected: b6a6, Got: 76c8
Checksum failed. Expected: fe9a, Got: 8106
Checksum failed. Expected: 9c13, Got: 8b43
Checksum failed. Expected: b1d6, Got: 9581
Checksum failed. Expected: 6021, Got: 9fbe
Checksum failed. Expected: 7a1b, Got: a9fb
Checksum failed. Expected: 76cb, Got: b439
Checksum failed. Expected: eea2, Got: be76
Checksum failed. Expected: 6ad2, Got: c8b4
Checksum failed. Expected: b3bb, Got: d2f1
Checksum failed. Expected: ec0a, Got: dd2f
Checksum failed. Expected: 8015, Got: e76c
Checksum failed. Expected: 112c, Got: f1a9
Checksum failed. Expected: f7ea, Got: fbe7
Checksum failed. Expected: 3fbe, Got: 0624
Checksum failed. Expected: d909, Got: 1062
Checksum failed. Expected: 293f, Got: 1a9f
Checksum failed. Expected: 465a, Got: 24dd
Checksum failed. Expected: c7ab, Got: 2f1a
Checksum failed. Expected: 8ce7, Got: 3958
Checksum failed. Expected: c0e9, Got: 4395
Checksum failed. Expected: fa43, Got: 4dd2
Checksum failed. Expected: e42d, Got: 5810
Checksum failed. Expected: 10c0, Got: 624d
Checksum failed. Expected: d61e, Got: 6c8b
Checksum failed. Expected: 381a, Got: 76c8
Checksum failed. Expected: c931, Got: 8106
Checksum failed. Expected: b71a, Got: 8b43
Checksum failed. Expected: 6891, Got: 9581
Checksum failed. Expected: ca8d, Got: 9fbe
Checksum failed. Expected: 72a1, Got: a9fb
Checksum failed. Expected: f83f, Got: b439

Exiting...
