
#################################################################
Log started at 2025-06-12_14-02-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 7cdd, Got: b22d
Checksum failed. Expected: 9fc7, Got: c6a7
Checksum failed. Expected: 802a, Got: db22
Checksum failed. Expected: 7431, Got: ef9d
Checksum failed. Expected: e178, Got: 0418
Checksum failed. Expected: 2d2f, Got: 1893
Checksum failed. Expected: 2ab0, Got: 2d0e
Checksum failed. Expected: 8845, Got: 4189
Checksum failed. Expected: b3c0, Got: 5604
Checksum failed. Expected: 9f6f, Got: 6a7e
Checksum failed. Expected: 4654, Got: 7ef9
Checksum failed. Expected: d2fa, Got: 9374
Checksum failed. Expected: bfb4, Got: a7ef
Checksum failed. Expected: e3e2, Got: bc6a
Checksum failed. Expected: f31d, Got: d0e5
Checksum failed. Expected: 54ea, Got: e560
Checksum failed. Expected: 0f7e, Got: f9db
Checksum failed. Expected: a79e, Got: 0e56
Checksum failed. Expected: 816f, Got: 22d0
Checksum failed. Expected: 1ee6, Got: 374b
Checksum failed. Expected: d338, Got: 4bc6
Checksum failed. Expected: 5570, Got: 6041
Checksum failed. Expected: 97d1, Got: 74bc
Checksum failed. Expected: 1f4b, Got: 8937
Checksum failed. Expected: 2c65, Got: 9db2
Checksum failed. Expected: 7f98, Got: b22d
Checksum failed. Expected: 46b0, Got: c6a7
Checksum failed. Expected: aee0, Got: db22
Checksum failed. Expected: d839, Got: ef9d
Checksum failed. Expected: fc5d, Got: 0418
Checksum failed. Expected: 1e46, Got: 1893
Checksum failed. Expected: 1264, Got: 2d0e
Checksum failed. Expected: 4736, Got: 4189
Checksum failed. Expected: 060d, Got: 5604
Checksum failed. Expected: 64a2, Got: 6a7e
Checksum failed. Expected: 8f33, Got: 7ef9
Checksum failed. Expected: 61db, Got: 9374
Checksum failed. Expected: b4f7, Got: a7ef
Checksum failed. Expected: e6bf, Got: bc6a
Checksum failed. Expected: 894b, Got: d0e5
Checksum failed. Expected: 2175, Got: e560
Checksum failed. Expected: 34d1, Got: f9db
Checksum failed. Expected: 034e, Got: 0e56
Checksum failed. Expected: 0d2f, Got: 22d0
Checksum failed. Expected: a464, Got: 374b
Checksum failed. Expected: d0d3, Got: 4bc6
Checksum failed. Expected: fa43, Got: 6041
Checksum failed. Expected: 075d, Got: 74bc
Checksum failed. Expected: fa70, Got: 8937
Checksum failed. Expected: c7ca, Got: 9db2
Checksum failed. Expected: 7807, Got: b22d
Checksum failed. Expected: 62a0, Got: c6a7
Checksum failed. Expected: 044e, Got: db22
Checksum failed. Expected: 972a, Got: ef9d
Checksum failed. Expected: a988, Got: 0418
Checksum failed. Expected: 8aa6, Got: 1893
Checksum failed. Expected: 23db, Got: 2d0e
Checksum failed. Expected: 19f8, Got: 4189
Checksum failed. Expected: 1aa5, Got: 5604
Checksum failed. Expected: 0975, Got: 6a7e
Checksum failed. Expected: 1f1f, Got: 7ef9
Checksum failed. Expected: 9c20, Got: 9374
Checksum failed. Expected: 480f, Got: a7ef
Checksum failed. Expected: a39a, Got: bc6a
Checksum failed. Expected: 6fe9, Got: d0e5
Checksum failed. Expected: c969, Got: e560
Checksum failed. Expected: daaf, Got: f9db
Checksum failed. Expected: 45e0, Got: 0e56
Checksum failed. Expected: 8c60, Got: 22d0
Checksum failed. Expected: 4f79, Got: 374b
Checksum failed. Expected: ba9d, Got: 4bc6
Checksum failed. Expected: b3f2, Got: 6041
Checksum failed. Expected: cd9b, Got: 74bc
Checksum failed. Expected: a264, Got: 8937
Checksum failed. Expected: ac5d, Got: 9db2
Checksum failed. Expected: 6f60, Got: b22d
Checksum failed. Expected: e1d1, Got: c6a7
Checksum failed. Expected: f670, Got: db22
Checksum failed. Expected: b31a, Got: ef9d
Checksum failed. Expected: d312, Got: 0418
Checksum failed. Expected: c80c, Got: 1893
Checksum failed. Expected: 7a54, Got: 2d0e
Checksum failed. Expected: 1267, Got: 4189
Checksum failed. Expected: 8c47, Got: 5604
Checksum failed. Expected: e179, Got: 6a7e
Checksum failed. Expected: 95ed, Got: 7ef9
Checksum failed. Expected: bc3c, Got: 9374
Checksum failed. Expected: 6c57, Got: a7ef
Checksum failed. Expected: 4762, Got: bc6a
Checksum failed. Expected: df75, Got: d0e5
Checksum failed. Expected: 95e9, Got: e560
Checksum failed. Expected: 3449, Got: f9db
Checksum failed. Expected: 3a23, Got: 0e56
Checksum failed. Expected: d113, Got: 22d0
Checksum failed. Expected: 1080, Got: 374b
Checksum failed. Expected: b843, Got: 4bc6
Checksum failed. Expected: 9990, Got: 6041
Checksum failed. Expected: c2de, Got: 74bc
Checksum failed. Expected: b2d0, Got: 8937
Checksum failed. Expected: 44a1, Got: 9db2
Checksum failed. Expected: ce31, Got: b22d

Exiting...
