
#################################################################
Log started at 2025-06-12_13-57-59 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 69bf, Got: 9fbe
Checksum failed. Expected: 7af5, Got: c8b4
Checksum failed. Expected: 72ca, Got: f1a9
Checksum failed. Expected: 86df, Got: 1a9f
Checksum failed. Expected: 7d91, Got: 4395
Checksum failed. Expected: f807, Got: 6c8b
Checksum failed. Expected: 9e56, Got: 9581
Checksum failed. Expected: 4cfd, Got: be76
Checksum failed. Expected: 8e16, Got: e76c
Checksum failed. Expected: be49, Got: 1062
Checksum failed. Expected: 7c88, Got: 3958
Checksum failed. Expected: eb7a, Got: 624d
Checksum failed. Expected: db0d, Got: 8b43
Checksum failed. Expected: f021, Got: b439
Checksum failed. Expected: dd7d, Got: dd2f
Checksum failed. Expected: bd40, Got: 0624
Checksum failed. Expected: d35d, Got: 2f1a
Checksum failed. Expected: 6d28, Got: 5810
Checksum failed. Expected: 5eb0, Got: 8106
Checksum failed. Expected: 5cc7, Got: a9fb
Checksum failed. Expected: c8c5, Got: d2f1
Checksum failed. Expected: ea68, Got: fbe7
Checksum failed. Expected: f1d8, Got: 24dd
Checksum failed. Expected: cb4b, Got: 4dd2
Checksum failed. Expected: 8cd9, Got: 76c8
Checksum failed. Expected: f268, Got: 9fbe
Checksum failed. Expected: 6bc8, Got: c8b4
Checksum failed. Expected: fd3b, Got: f1a9
Checksum failed. Expected: 1fea, Got: 1a9f
Checksum failed. Expected: 9d69, Got: 4395
Checksum failed. Expected: 14b3, Got: 6c8b
Checksum failed. Expected: 3c98, Got: 9581
Checksum failed. Expected: ddb0, Got: be76
Checksum failed. Expected: 4fd9, Got: e76c
Checksum failed. Expected: 1152, Got: 1062
Checksum failed. Expected: 4f11, Got: 3958
Checksum failed. Expected: 620f, Got: 624d
Checksum failed. Expected: cce0, Got: 8b43
Checksum failed. Expected: c8e1, Got: b439
Checksum failed. Expected: 757d, Got: dd2f
Checksum failed. Expected: 727f, Got: 0624
Checksum failed. Expected: a907, Got: 2f1a
Checksum failed. Expected: baef, Got: 5810
Checksum failed. Expected: c169, Got: 8106
Checksum failed. Expected: aba4, Got: a9fb
Checksum failed. Expected: 6a33, Got: d2f1
Checksum failed. Expected: 372f, Got: fbe7
Checksum failed. Expected: 9772, Got: 24dd
Checksum failed. Expected: eb23, Got: 4dd2
Checksum failed. Expected: e203, Got: 76c8
Checksum failed. Expected: 79ad, Got: 9fbe
Checksum failed. Expected: c94a, Got: c8b4
Checksum failed. Expected: e395, Got: f1a9
Checksum failed. Expected: 83ae, Got: 1a9f
Checksum failed. Expected: 6cc6, Got: 4395
Checksum failed. Expected: d03f, Got: 6c8b
Checksum failed. Expected: 96ee, Got: 9581
Checksum failed. Expected: f20f, Got: be76
Checksum failed. Expected: 236d, Got: e76c
Checksum failed. Expected: ee49, Got: 1062
Checksum failed. Expected: 150b, Got: 3958
Checksum failed. Expected: 4869, Got: 624d
Checksum failed. Expected: 6e4e, Got: 8b43
Checksum failed. Expected: 33f2, Got: b439
Checksum failed. Expected: 2ddd, Got: dd2f
Checksum failed. Expected: 15f8, Got: 0624
Checksum failed. Expected: 2f41, Got: 2f1a
Checksum failed. Expected: 4ba2, Got: 5810
Checksum failed. Expected: b668, Got: 8106
Checksum failed. Expected: 8ab1, Got: a9fb
Checksum failed. Expected: 2bf6, Got: d2f1
Checksum failed. Expected: a02a, Got: fbe7
Checksum failed. Expected: 5b56, Got: 24dd
Checksum failed. Expected: cf67, Got: 4dd2
Checksum failed. Expected: d2cb, Got: 76c8
Checksum failed. Expected: 6a80, Got: 9fbe
Checksum failed. Expected: 8d2e, Got: c8b4
Checksum failed. Expected: 3272, Got: f1a9
Checksum failed. Expected: 8b7e, Got: 1a9f
Checksum failed. Expected: ebb3, Got: 4395
Checksum failed. Expected: 0a35, Got: 6c8b
Checksum failed. Expected: a0d4, Got: 9581
Checksum failed. Expected: 1a3f, Got: be76
Checksum failed. Expected: e325, Got: e76c
Checksum failed. Expected: d6b9, Got: 1062
Checksum failed. Expected: d8e4, Got: 3958
Checksum failed. Expected: d3da, Got: 624d
Checksum failed. Expected: 1e56, Got: 8b43
Checksum failed. Expected: ce13, Got: b439
Checksum failed. Expected: 4452, Got: dd2f
Checksum failed. Expected: 9706, Got: 0624
Checksum failed. Expected: bdd3, Got: 2f1a
Checksum failed. Expected: b071, Got: 5810
Checksum failed. Expected: 4d5d, Got: 8106
Checksum failed. Expected: 5b24, Got: a9fb
Checksum failed. Expected: 7491, Got: d2f1
Checksum failed. Expected: e6a4, Got: fbe7
Checksum failed. Expected: ca93, Got: 24dd
Checksum failed. Expected: 538b, Got: 4dd2
Checksum failed. Expected: e835, Got: 76c8
Checksum failed. Expected: 894d, Got: 9fbe
Checksum failed. Expected: 47a4, Got: c8b4
Checksum failed. Expected: 76d6, Got: f1a9
Checksum failed. Expected: 0c81, Got: 1a9f
Checksum failed. Expected: 819d, Got: 4395
Checksum failed. Expected: 4962, Got: 6c8b
Checksum failed. Expected: a478, Got: 9581
Checksum failed. Expected: 5b82, Got: be76
Checksum failed. Expected: e5b3, Got: e76c
Checksum failed. Expected: 644b, Got: 1062
Checksum failed. Expected: 25ab, Got: 3958
Checksum failed. Expected: 4d90, Got: 624d
Checksum failed. Expected: 35cb, Got: 8b43
Checksum failed. Expected: 3c45, Got: b439
Checksum failed. Expected: 837f, Got: dd2f
Checksum failed. Expected: 9568, Got: 0624
Checksum failed. Expected: 763e, Got: 2f1a
Checksum failed. Expected: a144, Got: 5810
Checksum failed. Expected: bc9a, Got: 8106
Checksum failed. Expected: 211e, Got: a9fb
Checksum failed. Expected: d108, Got: d2f1
Checksum failed. Expected: c4a6, Got: fbe7
Checksum failed. Expected: f910, Got: 24dd
Checksum failed. Expected: 65c9, Got: 4dd2
Checksum failed. Expected: 0f5a, Got: 76c8
Checksum failed. Expected: e4ae, Got: 9fbe
Checksum failed. Expected: 9aad, Got: c8b4
Checksum failed. Expected: 4b75, Got: f1a9
Checksum failed. Expected: 4cb9, Got: 1a9f
Checksum failed. Expected: c60c, Got: 4395
Checksum failed. Expected: 1493, Got: 6c8b
Checksum failed. Expected: bae2, Got: 9581
Checksum failed. Expected: 645d, Got: be76
Checksum failed. Expected: 026a, Got: e76c
Checksum failed. Expected: 7fec, Got: 1062
Checksum failed. Expected: 2e86, Got: 3958
