
#################################################################
Log started at 2025-06-12_14-02-03 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a77e, Got: 8594
Checksum failed. Expected: 4eb4, Got: 7565
Checksum failed. Expected: 3699, Got: 7565
Checksum failed. Expected: 3c9d, Got: 7565
Checksum failed. Expected: f005, Got: 7565
Checksum failed. Expected: 5ddf, Got: 7565
Checksum failed. Expected: e7f3, Got: 7565
Checksum failed. Expected: 1651, Got: 7565
Checksum failed. Expected: bd9f, Got: 7565
Checksum failed. Expected: 1651, Got: 7565
Checksum failed. Expected: 052f, Got: 7565
Checksum failed. Expected: 954f, Got: 7565
Checksum failed. Expected: cbbb, Got: 7565
Checksum failed. Expected: 6bfb, Got: 7565
Checksum failed. Expected: e1e7, Got: 7565
Checksum failed. Expected: c8b5, Got: 7565
Checksum failed. Expected: 44ad, Got: 7565
Checksum failed. Expected: 1855, Got: 7565
Checksum failed. Expected: a56f, Got: 7565
Checksum failed. Expected: 2b7b, Got: 7565
Checksum failed. Expected: 236b, Got: 7565
Checksum failed. Expected: 3d9f, Got: 7565
Checksum failed. Expected: dad9, Got: 7565
Checksum failed. Expected: b997, Got: 7565
Checksum failed. Expected: 338b, Got: 7565
Checksum failed. Expected: 1855, Got: 7565
Checksum failed. Expected: f40d, Got: 7565
Checksum failed. Expected: 49b7, Got: 7565
Checksum failed. Expected: 134b, Got: 7565
Checksum failed. Expected: 134b, Got: 7565
Checksum failed. Expected: aa79, Got: 7565
Checksum failed. Expected: 56d1, Got: 7565
Checksum failed. Expected: dfe3, Got: 7565
Checksum failed. Expected: 2c7d, Got: 7565
Checksum failed. Expected: f107, Got: 7565
Checksum failed. Expected: 5cdd, Got: 7565
Checksum failed. Expected: d0c5, Got: 7565
Checksum failed. Expected: dee1, Got: 7565
Checksum failed. Expected: 6bfb, Got: 7565
Checksum failed. Expected: 69f7, Got: 7565
Checksum failed. Expected: 6cfd, Got: 7565
Checksum failed. Expected: ccbd, Got: 7565
Checksum failed. Expected: f209, Got: 7565
Checksum failed. Expected: 9f63, Got: 7565
Checksum failed. Expected: edff, Got: 7565
Checksum failed. Expected: 46b1, Got: 7565
Checksum failed. Expected: a269, Got: 7565
Checksum failed. Expected: f005, Got: 7565
Checksum failed. Expected: 5cdd, Got: 7565
Checksum failed. Expected: edff, Got: 7565
Checksum failed. Expected: 3ea1, Got: 7565
Checksum failed. Expected: d7d3, Got: 7565
Checksum failed. Expected: aa79, Got: 7565
Checksum failed. Expected: 1651, Got: 7565
Checksum failed. Expected: 7713, Got: 7565
Checksum failed. Expected: f713, Got: 7565
Checksum failed. Expected: 832b, Got: 7565
Checksum failed. Expected: 8025, Got: 7565
Checksum failed. Expected: f917, Got: 7565
Checksum failed. Expected: 4ab9, Got: 7565
Checksum failed. Expected: f209, Got: 7565
Checksum failed. Expected: 60e5, Got: 7565
Checksum failed. Expected: bfa3, Got: 7565
Checksum failed. Expected: 9d5f, Got: 7565
Checksum failed. Expected: dddf, Got: 7565
Checksum failed. Expected: 7107, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: 7917, Got: 7565
Checksum failed. Expected: 58d5, Got: 7565
Checksum failed. Expected: a977, Got: 7565
Checksum failed. Expected: 3997, Got: 7565
Checksum failed. Expected: 2b7b, Got: 7565
Checksum failed. Expected: e6f1, Got: 7565
Checksum failed. Expected: ba99, Got: 7565
Checksum failed. Expected: ac7d, Got: 7565
Checksum failed. Expected: e9f7, Got: 7565
Checksum failed. Expected: 5cdd, Got: 7565
Checksum failed. Expected: d7d3, Got: 7565
Checksum failed. Expected: 1b5b, Got: 7565
Checksum failed. Expected: dbdb, Got: 7565
Checksum failed. Expected: 4dbf, Got: 7565
Checksum failed. Expected: bc9d, Got: 7565
Checksum failed. Expected: 1651, Got: 7565
Checksum failed. Expected: e5ef, Got: 7565
Checksum failed. Expected: 2b7b, Got: 7565
Checksum failed. Expected: 5fe3, Got: 7565

Exiting...
