
#################################################################
Log started at 2025-06-12_13-53-07 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a77e, Got: 8594
Checksum failed. Expected: 4eb4, Got: 7565
Checksum failed. Expected: 3699, Got: 7565
Checksum failed. Expected: 4ec1, Got: 7565
Checksum failed. Expected: c4ad, Got: 7565
Checksum failed. Expected: 5ee1, Got: 7565
Checksum failed. Expected: 9045, Got: 7565
Checksum failed. Expected: f40d, Got: 7565
Checksum failed. Expected: 6bfb, Got: 7565
Checksum failed. Expected: 6cfd, Got: 7565
Checksum failed. Expected: c1a7, Got: 7565
Checksum failed. Expected: 51c7, Got: 7565
Checksum failed. Expected: e8f5, Got: 7565
Checksum failed. Expected: c6b1, Got: 7565
Checksum failed. Expected: bc9d, Got: 7565
Checksum failed. Expected: fe21, Got: 7565
Checksum failed. Expected: f30b, Got: 7565
Checksum failed. Expected: 0c3d, Got: 7565
Checksum failed. Expected: b58f, Got: 7565
Checksum failed. Expected: 9e61, Got: 7565
Checksum failed. Expected: a56f, Got: 7565
Checksum failed. Expected: dbdb, Got: 7565
Checksum failed. Expected: 0c3d, Got: 7565
Checksum failed. Expected: c9b7, Got: 7565
Checksum failed. Expected: bb9b, Got: 7565
Checksum failed. Expected: a773, Got: 7565
Checksum failed. Expected: 8733, Got: 7565
Checksum failed. Expected: 9957, Got: 7565
Checksum failed. Expected: 7e21, Got: 7565
Checksum failed. Expected: f005, Got: 7565
Checksum failed. Expected: d0c5, Got: 7565
Checksum failed. Expected: 9651, Got: 7565
Checksum failed. Expected: 50c5, Got: 7565
Checksum failed. Expected: 3895, Got: 7565
Checksum failed. Expected: 348d, Got: 7565
Checksum failed. Expected: 2e81, Got: 7565
Checksum failed. Expected: 4ab9, Got: 7565
Checksum failed. Expected: 5fe3, Got: 7565
Checksum failed. Expected: 144d, Got: 7565
Checksum failed. Expected: 3d9f, Got: 7565
Checksum failed. Expected: 0733, Got: 7565
Checksum failed. Expected: 62e9, Got: 7565
Checksum failed. Expected: dddf, Got: 7565
Checksum failed. Expected: e1e7, Got: 7565
Checksum failed. Expected: bd9f, Got: 7565
Checksum failed. Expected: ad7f, Got: 7565
Checksum failed. Expected: e7f3, Got: 7565
Checksum failed. Expected: 43ab, Got: 7565
Checksum failed. Expected: 2a79, Got: 7565
Checksum failed. Expected: 54cd, Got: 7565
Checksum failed. Expected: 3a99, Got: 7565
Checksum failed. Expected: 236b, Got: 7565
Checksum failed. Expected: 0b3b, Got: 7565
Checksum failed. Expected: 0025, Got: 7565
Checksum failed. Expected: 1651, Got: 7565
Checksum failed. Expected: 236b, Got: 7565
Checksum failed. Expected: c3ab, Got: 7565
Checksum failed. Expected: 8937, Got: 7565
Checksum failed. Expected: 44ad, Got: 7565
Checksum failed. Expected: f713, Got: 7565
Checksum failed. Expected: 53cb, Got: 7565
Checksum failed. Expected: 7e21, Got: 7565
Checksum failed. Expected: 8d3f, Got: 7565
Checksum failed. Expected: c9b7, Got: 7565
Checksum failed. Expected: f713, Got: 7565
Checksum failed. Expected: e6f1, Got: 7565
Checksum failed. Expected: e7f3, Got: 7565
Checksum failed. Expected: a773, Got: 7565
Checksum failed. Expected: 358f, Got: 7565
Checksum failed. Expected: b58f, Got: 7565
Checksum failed. Expected: 348d, Got: 7565
Checksum failed. Expected: a36b, Got: 7565
Checksum failed. Expected: 0835, Got: 7565
Checksum failed. Expected: c7b3, Got: 7565
Checksum failed. Expected: 61e7, Got: 7565
Checksum failed. Expected: 65ef, Got: 7565
Checksum failed. Expected: 1045, Got: 7565
Checksum failed. Expected: dfe3, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: 47b3, Got: 7565
Checksum failed. Expected: c3ab, Got: 7565
Checksum failed. Expected: 1045, Got: 7565
Checksum failed. Expected: c5af, Got: 7565
Checksum failed. Expected: 0f43, Got: 7565
Checksum failed. Expected: e9f7, Got: 7565
Checksum failed. Expected: ab7b, Got: 7565
Checksum failed. Expected: 4cbd, Got: 7565
Checksum failed. Expected: c9b7, Got: 7565
Checksum failed. Expected: f713, Got: 7565
Checksum failed. Expected: 0127, Got: 7565
Checksum failed. Expected: ae81, Got: 7565
Checksum failed. Expected: 9c5d, Got: 7565
Checksum failed. Expected: 3793, Got: 7565
Checksum failed. Expected: 9b5b, Got: 7565
Checksum failed. Expected: ba99, Got: 7565
Checksum failed. Expected: 4cbd, Got: 7565
Checksum failed. Expected: 2065, Got: 7565
Checksum failed. Expected: 8a39, Got: 7565
Checksum failed. Expected: b085, Got: 7565
Checksum failed. Expected: 3b9b, Got: 7565
Checksum failed. Expected: 48b5, Got: 7565
Checksum failed. Expected: ba99, Got: 7565
Checksum failed. Expected: 154f, Got: 7565
Checksum failed. Expected: cfc3, Got: 7565
Checksum failed. Expected: fb1b, Got: 7565
Checksum failed. Expected: 6af9, Got: 7565
Checksum failed. Expected: 66f1, Got: 7565
Checksum failed. Expected: 7713, Got: 7565
Checksum failed. Expected: 7611, Got: 7565
Checksum failed. Expected: 7005, Got: 7565
Checksum failed. Expected: ebfb, Got: 7565
Checksum failed. Expected: 8127, Got: 7565
Checksum failed. Expected: 1a59, Got: 7565
Checksum failed. Expected: 8025, Got: 7565
Checksum failed. Expected: 8733, Got: 7565
Checksum failed. Expected: 68f5, Got: 7565
Checksum failed. Expected: cfc3, Got: 7565
Checksum failed. Expected: 40a5, Got: 7565
Checksum failed. Expected: e3eb, Got: 7565

Exiting...
