
#################################################################
Log started at 2025-06-12_14-00-45 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: f04d, Got: 53f7
Checksum failed. Expected: d3c8, Got: 6872
Checksum failed. Expected: 7975, Got: 7ced
Checksum failed. Expected: 515f, Got: 9168
Checksum failed. Expected: e972, Got: a5e3
Checksum failed. Expected: e5e8, Got: ba5e
Checksum failed. Expected: 77b9, Got: ced9
Checksum failed. Expected: 67ab, Got: e353
Checksum failed. Expected: 5cd3, Got: f7ce
Checksum failed. Expected: 07c4, Got: 0c49
Checksum failed. Expected: 490d, Got: 20c4
Checksum failed. Expected: 991f, Got: 353f
Checksum failed. Expected: 228d, Got: 49ba
Checksum failed. Expected: ab12, Got: 5e35
Checksum failed. Expected: 66a6, Got: 72b0
Checksum failed. Expected: 59b9, Got: 872b
Checksum failed. Expected: 3d10, Got: 9ba5
Checksum failed. Expected: e92c, Got: b020
Checksum failed. Expected: 2c98, Got: c49b
Checksum failed. Expected: 1006, Got: d916
Checksum failed. Expected: 2362, Got: ed91
Checksum failed. Expected: d069, Got: 020c
Checksum failed. Expected: 8dfb, Got: 1687
Checksum failed. Expected: c4fa, Got: 2b02
Checksum failed. Expected: 9049, Got: 3f7c
Checksum failed. Expected: 0c55, Got: 53f7
Checksum failed. Expected: 5304, Got: 6872
Checksum failed. Expected: 549a, Got: 7ced
Checksum failed. Expected: a18b, Got: 9168
Checksum failed. Expected: 763d, Got: a5e3
Checksum failed. Expected: f01d, Got: ba5e
Checksum failed. Expected: f6ea, Got: ced9
Checksum failed. Expected: cfdf, Got: e353
Checksum failed. Expected: daf9, Got: f7ce
Checksum failed. Expected: 9ce7, Got: 0c49
Checksum failed. Expected: 77c3, Got: 20c4
Checksum failed. Expected: 83e9, Got: 353f
Checksum failed. Expected: 288b, Got: 49ba
Checksum failed. Expected: 2401, Got: 5e35
Checksum failed. Expected: 3547, Got: 72b0
Checksum failed. Expected: 8985, Got: 872b
Checksum failed. Expected: f293, Got: 9ba5
Checksum failed. Expected: 7d44, Got: b020
Checksum failed. Expected: 0ade, Got: c49b
Checksum failed. Expected: ba10, Got: d916
Checksum failed. Expected: edcc, Got: ed91
Checksum failed. Expected: 9f0a, Got: 020c
Checksum failed. Expected: 3a26, Got: 1687
Checksum failed. Expected: 8717, Got: 2b02
Checksum failed. Expected: 050c, Got: 3f7c
Checksum failed. Expected: e138, Got: 53f7
Checksum failed. Expected: a867, Got: 6872
Checksum failed. Expected: a9fd, Got: 7ced
Checksum failed. Expected: 1864, Got: 9168
Checksum failed. Expected: 4e41, Got: a5e3
Checksum failed. Expected: b22f, Got: ba5e
Checksum failed. Expected: c375, Got: ced9
Checksum failed. Expected: 90e6, Got: e353
Checksum failed. Expected: 6e11, Got: f7ce
Checksum failed. Expected: 7922, Got: 0c49
Checksum failed. Expected: a042, Got: 20c4
Checksum failed. Expected: 528a, Got: 353f
Checksum failed. Expected: 2e89, Got: 49ba
Checksum failed. Expected: 6588, Got: 5e35
Checksum failed. Expected: cfa1, Got: 72b0
Checksum failed. Expected: c6e0, Got: 872b
Checksum failed. Expected: 4801, Got: 9ba5
Checksum failed. Expected: a5b8, Got: b020
Checksum failed. Expected: ac90, Got: c49b
Checksum failed. Expected: 546a, Got: d916
