
#################################################################
Log started at 2025-06-12_14-14-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: a011, Got: 50e5
Checksum failed. Expected: 83c9, Got: 5b22
Checksum failed. Expected: 4f52, Got: 6560
Checksum failed. Expected: 78db, Got: 6f9d
Checksum failed. Expected: d5b6, Got: 79db
Checksum failed. Expected: a356, Got: 8418
Checksum failed. Expected: 53ab, Got: 8e56
Checksum failed. Expected: 040c, Got: 9893
Checksum failed. Expected: a6de, Got: a2d0
Checksum failed. Expected: cb51, Got: ad0e
Checksum failed. Expected: b724, Got: b74b
Checksum failed. Expected: cdf2, Got: c189
Checksum failed. Expected: 632a, Got: cbc6
Checksum failed. Expected: e59c, Got: d604
Checksum failed. Expected: 5f89, Got: e041
Checksum failed. Expected: afd5, Got: ea7e
Checksum failed. Expected: c6ae, Got: f4bc
Checksum failed. Expected: f258, Got: fef9
Checksum failed. Expected: 6731, Got: 0937
Checksum failed. Expected: dee5, Got: 1374
Checksum failed. Expected: 357e, Got: 1db2
Checksum failed. Expected: 0213, Got: 27ef
Checksum failed. Expected: 8164, Got: 322d
Checksum failed. Expected: 726e, Got: 3c6a
Checksum failed. Expected: f4e0, Got: 46a7
Checksum failed. Expected: 7eaa, Got: 50e5
Checksum failed. Expected: 2bdf, Got: 5b22
Checksum failed. Expected: a5e2, Got: 6560
Checksum failed. Expected: 0b0a, Got: 6f9d
Checksum failed. Expected: 0be6, Got: 79db
Checksum failed. Expected: f8db, Got: 8418
Checksum failed. Expected: e5cf, Got: 8e56
Checksum failed. Expected: 7b07, Got: 9893
Checksum failed. Expected: 64e6, Got: a2d0
Checksum failed. Expected: c2cc, Got: ad0e
Checksum failed. Expected: 59f8, Got: b74b
Checksum failed. Expected: 10b1, Got: c189
Checksum failed. Expected: f22d, Got: cbc6
Checksum failed. Expected: 158a, Got: d604
Checksum failed. Expected: 08aa, Got: e041
Checksum failed. Expected: eb47, Got: ea7e
Checksum failed. Expected: 301a, Got: f4bc
Checksum failed. Expected: 3943, Got: fef9
Checksum failed. Expected: f73f, Got: 0937
Checksum failed. Expected: 4104, Got: 1374
Checksum failed. Expected: 27c2, Got: 1db2
Checksum failed. Expected: 805b, Got: 27ef
Checksum failed. Expected: 5774, Got: 322d
Checksum failed. Expected: f1c1, Got: 3c6a
Checksum failed. Expected: 4218, Got: 46a7
Checksum failed. Expected: 635f, Got: 50e5
Checksum failed. Expected: 8ad2, Got: 5b22
Checksum failed. Expected: bdc8, Got: 6560
Checksum failed. Expected: cd3e, Got: 6f9d
Checksum failed. Expected: 53dc, Got: 79db
Checksum failed. Expected: 0da0, Got: 8418
Checksum failed. Expected: f668, Got: 8e56
Checksum failed. Expected: b779, Got: 9893
Checksum failed. Expected: 62ae, Got: a2d0
Checksum failed. Expected: 9af2, Got: ad0e
Checksum failed. Expected: 2bdc, Got: b74b
Checksum failed. Expected: 13b0, Got: c189

Exiting...
