
#################################################################
Log started at 2025-06-12_15-13-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 901e, Got: 0c08
Checksum failed. Expected: 1228, Got: 0e97
Checksum failed. Expected: 9a88, Got: 1126
Checksum failed. Expected: 5e65, Got: 13b6
Checksum failed. Expected: d1c8, Got: 1645
Checksum failed. Expected: afc3, Got: 18d4
Checksum failed. Expected: 255d, Got: 1b64
Checksum failed. Expected: 7207, Got: 1df3
Checksum failed. Expected: efee, Got: 2083
Checksum failed. Expected: f15f, Got: 2312
Checksum failed. Expected: 6a03, Got: 25a1
Checksum failed. Expected: b5c4, Got: 2831
Checksum failed. Expected: f90b, Got: 2ac0
Checksum failed. Expected: df75, Got: 2d4f
Checksum failed. Expected: b2f7, Got: 2fdf
Checksum failed. Expected: 8bbc, Got: 326e
Checksum failed. Expected: c5ab, Got: 34fd
Checksum failed. Expected: 106c, Got: 378d
Checksum failed. Expected: 8c1b, Got: 3a1c
Checksum failed. Expected: e98b, Got: 3cac
Checksum failed. Expected: 58c2, Got: 3f3b
Checksum failed. Expected: 006b, Got: 41ca
Checksum failed. Expected: 5bdc, Got: 445a
Checksum failed. Expected: 0ddd, Got: 46e9
Checksum failed. Expected: a3d7, Got: 4978
Checksum failed. Expected: 1f9c, Got: 4c08
Checksum failed. Expected: 274f, Got: 4e97
Checksum failed. Expected: b4e6, Got: 5126
Checksum failed. Expected: 8daa, Got: 53b6
Checksum failed. Expected: 0865, Got: 5645
Checksum failed. Expected: c816, Got: 58d4
Checksum failed. Expected: 28be, Got: 5b64
Checksum failed. Expected: 7247, Got: 5df3
Checksum failed. Expected: dd68, Got: 6083
Checksum failed. Expected: 6064, Got: 6312
Checksum failed. Expected: bfea, Got: 65a1
Checksum failed. Expected: 28f5, Got: 6831
Checksum failed. Expected: 295b, Got: 6ac0
Checksum failed. Expected: 9587, Got: 6d4f
Checksum failed. Expected: 2849, Got: 6fdf
Checksum failed. Expected: 43e4, Got: 726e
Checksum failed. Expected: 7dd3, Got: 74fd
Checksum failed. Expected: bc10, Got: 778d
Checksum failed. Expected: 026d, Got: 7a1c
Checksum failed. Expected: e6aa, Got: 7cac
Checksum failed. Expected: 8f5f, Got: 7f3b
Checksum failed. Expected: 5c9f, Got: 81ca
Checksum failed. Expected: 013e, Got: 845a
Checksum failed. Expected: 5961, Got: 86e9
Checksum failed. Expected: 58de, Got: 8978
Checksum failed. Expected: f93a, Got: 8c08
Checksum failed. Expected: 8efc, Got: 8e97
Checksum failed. Expected: abc3, Got: 9126
Checksum failed. Expected: 695e, Got: 93b6
Checksum failed. Expected: 765f, Got: 9645
Checksum failed. Expected: 2a8c, Got: 98d4
Checksum failed. Expected: 4a74, Got: 9b64
Checksum failed. Expected: 2a6f, Got: 9df3
Checksum failed. Expected: ad98, Got: a083
Checksum failed. Expected: f3f5, Got: a312
Checksum failed. Expected: 15dc, Got: a5a1
Checksum failed. Expected: 08d5, Got: a831
Checksum failed. Expected: 4c1c, Got: aac0
Checksum failed. Expected: 571d, Got: ad4f
Checksum failed. Expected: 9b7a, Got: afdf
Checksum failed. Expected: 0364, Got: b26e
Checksum failed. Expected: 1385, Got: b4fd
Checksum failed. Expected: b1d7, Got: b78d
Checksum failed. Expected: 8659, Got: ba1c
Checksum failed. Expected: 6028, Got: bcac
Checksum failed. Expected: bfaf, Got: bf3b
Checksum failed. Expected: 7a29, Got: c1ca
Checksum failed. Expected: e655, Got: c45a
Checksum failed. Expected: 75d5, Got: c6e9
Checksum failed. Expected: 4979, Got: c978
Checksum failed. Expected: 76d9, Got: cc08
Checksum failed. Expected: 23a3, Got: ce97
Checksum failed. Expected: c416, Got: d126
Checksum failed. Expected: 065d, Got: d3b6
Checksum failed. Expected: fd6c, Got: d645
Checksum failed. Expected: 4e58, Got: d8d4
Checksum failed. Expected: e131, Got: db64
Checksum failed. Expected: 6a6f, Got: ddf3
Checksum failed. Expected: cc2d, Got: e083
Checksum failed. Expected: beee, Got: e312
Checksum failed. Expected: a54c, Got: e5a1
Checksum failed. Expected: 439e, Got: e831
Checksum failed. Expected: d008, Got: eac0
Checksum failed. Expected: 8020, Got: ed4f
Checksum failed. Expected: 645d, Got: efdf
Checksum failed. Expected: 37e0, Got: f26e
Checksum failed. Expected: 828a, Got: f4fd
Checksum failed. Expected: f1d7, Got: f78d
Checksum failed. Expected: 60f7, Got: fa1c
Checksum failed. Expected: 1d87, Got: fcac
Checksum failed. Expected: 0f5f, Got: ff3b
Checksum failed. Expected: 3dc0, Got: 01ca
Checksum failed. Expected: 2b6a, Got: 045a
Checksum failed. Expected: 9ca0, Got: 06e9
Checksum failed. Expected: 9907, Got: 0978
Checksum failed. Expected: 43c6, Got: 0c08
Checksum failed. Expected: 3266, Got: 0e97
Checksum failed. Expected: edf7, Got: 1126
Checksum failed. Expected: 6059, Got: 13b6
Checksum failed. Expected: bdca, Got: 1645
Checksum failed. Expected: d759, Got: 18d4
Checksum failed. Expected: 855b, Got: 1b64
Checksum failed. Expected: be29, Got: 1df3
Checksum failed. Expected: 21f2, Got: 2083
Checksum failed. Expected: 9a80, Got: 2312
Checksum failed. Expected: 4da2, Got: 25a1
Checksum failed. Expected: f457, Got: 2831
Checksum failed. Expected: aeb0, Got: 2ac0
Checksum failed. Expected: 3b47, Got: 2d4f
Checksum failed. Expected: 7641, Got: 2fdf
Checksum failed. Expected: 2001, Got: 326e
Checksum failed. Expected: af97, Got: 34fd
Checksum failed. Expected: 4165, Got: 378d
Checksum failed. Expected: d0e5, Got: 3a1c
Checksum failed. Expected: 7999, Got: 3cac
Checksum failed. Expected: e6ba, Got: 3f3b
Checksum failed. Expected: 7445, Got: 41ca
Checksum failed. Expected: 5362, Got: 445a
Checksum failed. Expected: 509c, Got: 46e9
Checksum failed. Expected: 2fb9, Got: 4978
Checksum failed. Expected: 9697, Got: 4c08
Checksum failed. Expected: 6c24, Got: 4e97
Checksum failed. Expected: 4820, Got: 5126
Checksum failed. Expected: f716, Got: 53b6
Checksum failed. Expected: 4f50, Got: 5645
Checksum failed. Expected: 4a8a, Got: 58d4
Checksum failed. Expected: 558b, Got: 5b64
Checksum failed. Expected: 7fb4, Got: 5df3
Checksum failed. Expected: da25, Got: 6083
Checksum failed. Expected: 7e8c, Got: 6312
Checksum failed. Expected: 5219, Got: 65a1
Checksum failed. Expected: 29de, Got: 6831
Checksum failed. Expected: 9d35, Got: 6ac0
Checksum failed. Expected: 6555, Got: 6d4f
Checksum failed. Expected: d6a1, Got: 6fdf
Checksum failed. Expected: ed10, Got: 726e
Checksum failed. Expected: e955, Got: 74fd
Checksum failed. Expected: bf0f, Got: 778d
Checksum failed. Expected: eb4e, Got: 7a1c
Checksum failed. Expected: 9402, Got: 7cac
Checksum failed. Expected: 6143, Got: 7f3b
Checksum failed. Expected: 2841, Got: 81ca
Checksum failed. Expected: cff6, Got: 845a
Checksum failed. Expected: 339d, Got: 86e9
Checksum failed. Expected: c24a, Got: 8978
Checksum failed. Expected: f0b5, Got: 8c08
Checksum failed. Expected: 8361, Got: 8e97
Checksum failed. Expected: ef8d, Got: 9126
Checksum failed. Expected: bccd, Got: 93b6
Checksum failed. Expected: 208b, Got: 9645
Checksum failed. Expected: b563, Got: 98d4
Checksum failed. Expected: 3676, Got: 9b64
Checksum failed. Expected: 4681, Got: 9df3
Checksum failed. Expected: e1b2, Got: a083
Checksum failed. Expected: 7ecc, Got: a312
Checksum failed. Expected: a0b3, Got: a5a1
Checksum failed. Expected: 1863, Got: a831
Checksum failed. Expected: 2fbb, Got: aac0
Checksum failed. Expected: c6c0, Got: ad4f
Checksum failed. Expected: e8a7, Got: afdf
Checksum failed. Expected: 6899, Got: b26e
