
#################################################################
Log started at 2025-06-12_13-53-03 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a77e, Got: 8594
Checksum failed. Expected: 4eb4, Got: 7565
Checksum failed. Expected: 3699, Got: 7565
Checksum failed. Expected: b38b, Got: 7565
Checksum failed. Expected: 9e61, Got: 7565
Checksum failed. Expected: 1e61, Got: 7565
Checksum failed. Expected: 7917, Got: 7565
Checksum failed. Expected: 54cd, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: 9c5d, Got: 7565
Checksum failed. Expected: a36b, Got: 7565
Checksum failed. Expected: b187, Got: 7565
Checksum failed. Expected: 9a59, Got: 7565
Checksum failed. Expected: c8b5, Got: 7565
Checksum failed. Expected: e0e5, Got: 7565
Checksum failed. Expected: e9f7, Got: 7565
Checksum failed. Expected: 8e41, Got: 7565
Checksum failed. Expected: ac7d, Got: 7565
Checksum failed. Expected: 9045, Got: 7565
Checksum failed. Expected: 8e41, Got: 7565
Checksum failed. Expected: fb1b, Got: 7565
Checksum failed. Expected: 0229, Got: 7565
Checksum failed. Expected: 134b, Got: 7565
Checksum failed. Expected: e3eb, Got: 7565
Checksum failed. Expected: 45af, Got: 7565
Checksum failed. Expected: 8127, Got: 7565
Checksum failed. Expected: 6f03, Got: 7565
Checksum failed. Expected: 1e61, Got: 7565
Checksum failed. Expected: 60e5, Got: 7565
Checksum failed. Expected: 60e5, Got: 7565
Checksum failed. Expected: a671, Got: 7565
Checksum failed. Expected: 4cbd, Got: 7565
Checksum failed. Expected: bb9b, Got: 7565
Checksum failed. Expected: e5ef, Got: 7565
Checksum failed. Expected: d1c7, Got: 7565
Checksum failed. Expected: b187, Got: 7565
Checksum failed. Expected: 358f, Got: 7565
Checksum failed. Expected: 68f5, Got: 7565
Checksum failed. Expected: 60e5, Got: 7565
Checksum failed. Expected: 2e81, Got: 7565
Checksum failed. Expected: 8c3d, Got: 7565
Checksum failed. Expected: 1a59, Got: 7565
Checksum failed. Expected: 8937, Got: 7565
Checksum failed. Expected: 9753, Got: 7565
Checksum failed. Expected: 0937, Got: 7565
Checksum failed. Expected: 2875, Got: 7565
Checksum failed. Expected: 7005, Got: 7565
Checksum failed. Expected: ff23, Got: 7565
Checksum failed. Expected: a671, Got: 7565
Checksum failed. Expected: 0127, Got: 7565
Checksum failed. Expected: 134b, Got: 7565
Checksum failed. Expected: 66f1, Got: 7565
Checksum failed. Expected: ebfb, Got: 7565
Checksum failed. Expected: 2b7b, Got: 7565
Checksum failed. Expected: ee01, Got: 7565
Checksum failed. Expected: b38b, Got: 7565
Checksum failed. Expected: 3997, Got: 7565
Checksum failed. Expected: 236b, Got: 7565
Checksum failed. Expected: 1045, Got: 7565
Checksum failed. Expected: 2f83, Got: 7565
Checksum failed. Expected: 9d5f, Got: 7565
Checksum failed. Expected: 1c5d, Got: 7565
Checksum failed. Expected: 1f63, Got: 7565
Checksum failed. Expected: 1d5f, Got: 7565
Checksum failed. Expected: f209, Got: 7565
Checksum failed. Expected: a773, Got: 7565
Checksum failed. Expected: 9045, Got: 7565
Checksum failed. Expected: 750f, Got: 7565
Checksum failed. Expected: 1957, Got: 7565
Checksum failed. Expected: 2671, Got: 7565
Checksum failed. Expected: 730b, Got: 7565
Checksum failed. Expected: a46d, Got: 7565
Checksum failed. Expected: 2d7f, Got: 7565
Checksum failed. Expected: d1c7, Got: 7565
Checksum failed. Expected: 7815, Got: 7565
Checksum failed. Expected: 1651, Got: 7565
Checksum failed. Expected: 3895, Got: 7565
Checksum failed. Expected: 1f63, Got: 7565
Checksum failed. Expected: 1147, Got: 7565
Checksum failed. Expected: a773, Got: 7565
Checksum failed. Expected: 1a59, Got: 7565
Checksum failed. Expected: 40a5, Got: 7565
Checksum failed. Expected: eaf9, Got: 7565
Checksum failed. Expected: b895, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: 49b7, Got: 7565
Checksum failed. Expected: 842d, Got: 7565
Checksum failed. Expected: 0f43, Got: 7565
Checksum failed. Expected: 42a9, Got: 7565
Checksum failed. Expected: 62e9, Got: 7565
Checksum failed. Expected: e6f1, Got: 7565
Checksum failed. Expected: 3c9d, Got: 7565
Checksum failed. Expected: f611, Got: 7565
Checksum failed. Expected: a875, Got: 7565
Checksum failed. Expected: cbbb, Got: 7565
Checksum failed. Expected: 1045, Got: 7565
Checksum failed. Expected: 62e9, Got: 7565
Checksum failed. Expected: d8d5, Got: 7565
Checksum failed. Expected: 2671, Got: 7565
Checksum failed. Expected: 9f63, Got: 7565
Checksum failed. Expected: bc9d, Got: 7565
Checksum failed. Expected: a46d, Got: 7565
Checksum failed. Expected: c8b5, Got: 7565
Checksum failed. Expected: 4cbd, Got: 7565
Checksum failed. Expected: fb1b, Got: 7565
Checksum failed. Expected: 7209, Got: 7565
Checksum failed. Expected: cbbb, Got: 7565
Checksum failed. Expected: bd9f, Got: 7565
Checksum failed. Expected: 3289, Got: 7565
Checksum failed. Expected: 740d, Got: 7565
Checksum failed. Expected: 7005, Got: 7565
Checksum failed. Expected: 4cbd, Got: 7565
Checksum failed. Expected: af83, Got: 7565
Checksum failed. Expected: e8f5, Got: 7565
Checksum failed. Expected: 1651, Got: 7565
Checksum failed. Expected: 0631, Got: 7565
Checksum failed. Expected: ba99, Got: 7565
Checksum failed. Expected: 1147, Got: 7565
Checksum failed. Expected: 2065, Got: 7565
Checksum failed. Expected: 42a9, Got: 7565
Checksum failed. Expected: 8835, Got: 7565
Checksum failed. Expected: 64ed, Got: 7565
Checksum failed. Expected: 2a79, Got: 7565
Checksum failed. Expected: 8a39, Got: 7565
Checksum failed. Expected: 0733, Got: 7565
Checksum failed. Expected: fe21, Got: 7565
Checksum failed. Expected: 154f, Got: 7565
Checksum failed. Expected: 8127, Got: 7565
Checksum failed. Expected: 8a39, Got: 7565
Checksum failed. Expected: 55cf, Got: 7565
Checksum failed. Expected: 52c9, Got: 7565
Checksum failed. Expected: 1045, Got: 7565
Checksum failed. Expected: ba99, Got: 7565
Checksum failed. Expected: c0a5, Got: 7565
Checksum failed. Expected: 154f, Got: 7565
Checksum failed. Expected: 7611, Got: 7565
Checksum failed. Expected: 236b, Got: 7565
Checksum failed. Expected: 9045, Got: 7565
Checksum failed. Expected: c1a7, Got: 7565
Checksum failed. Expected: 68f5, Got: 7565
Checksum failed. Expected: 3c9d, Got: 7565
Checksum failed. Expected: 9f63, Got: 7565
Checksum failed. Expected: 0937, Got: 7565
Checksum failed. Expected: a065, Got: 7565
Checksum failed. Expected: 6af9, Got: 7565
Checksum failed. Expected: 6e01, Got: 7565
Checksum failed. Expected: 0025, Got: 7565
Checksum failed. Expected: 1147, Got: 7565
Checksum failed. Expected: 1855, Got: 7565
Checksum failed. Expected: 0937, Got: 7565
Checksum failed. Expected: 338b, Got: 7565
Checksum failed. Expected: 42a9, Got: 7565
Checksum failed. Expected: b38b, Got: 7565
Checksum failed. Expected: 53cb, Got: 7565
Checksum failed. Expected: 8733, Got: 7565
