
#################################################################
Log started at 2025-06-12_13-58-03 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a77e, Got: 8594
Checksum failed. Expected: 4eb4, Got: 7565
Checksum failed. Expected: 3699, Got: 7565
Checksum failed. Expected: aa79, Got: 7565
Checksum failed. Expected: 1c5d, Got: 7565
Checksum failed. Expected: 64ed, Got: 7565
Checksum failed. Expected: c6b1, Got: 7565
Checksum failed. Expected: 740d, Got: 7565
Checksum failed. Expected: 3895, Got: 7565
Checksum failed. Expected: 5fe3, Got: 7565
Checksum failed. Expected: 3289, Got: 7565
Checksum failed. Expected: 53cb, Got: 7565
Checksum failed. Expected: 7815, Got: 7565
Checksum failed. Expected: 8937, Got: 7565
Checksum failed. Expected: 730b, Got: 7565
Checksum failed. Expected: 6af9, Got: 7565
Checksum failed. Expected: 2e81, Got: 7565
Checksum failed. Expected: c9b7, Got: 7565
Checksum failed. Expected: 8f43, Got: 7565
Checksum failed. Expected: 9147, Got: 7565
Checksum failed. Expected: e8f5, Got: 7565
Checksum failed. Expected: 67f3, Got: 7565
Checksum failed. Expected: ef03, Got: 7565
Checksum failed. Expected: 45af, Got: 7565
Checksum failed. Expected: cbbb, Got: 7565
Checksum failed. Expected: 3997, Got: 7565
Checksum failed. Expected: 9c5d, Got: 7565
Checksum failed. Expected: 1651, Got: 7565
Checksum failed. Expected: d0c5, Got: 7565
Checksum failed. Expected: c6b1, Got: 7565
Checksum failed. Expected: 0a39, Got: 7565
Checksum failed. Expected: 4fc3, Got: 7565
Checksum failed. Expected: 4fc3, Got: 7565
Checksum failed. Expected: 032b, Got: 7565
Checksum failed. Expected: 0733, Got: 7565
Checksum failed. Expected: aa79, Got: 7565
Checksum failed. Expected: 0229, Got: 7565
Checksum failed. Expected: fa19, Got: 7565
Checksum failed. Expected: a46d, Got: 7565
Checksum failed. Expected: b793, Got: 7565
Checksum failed. Expected: ac7d, Got: 7565
Checksum failed. Expected: 934b, Got: 7565
Checksum failed. Expected: bd9f, Got: 7565
Checksum failed. Expected: ff23, Got: 7565
Checksum failed. Expected: 7b1b, Got: 7565
Checksum failed. Expected: 8127, Got: 7565
Checksum failed. Expected: 0733, Got: 7565
Checksum failed. Expected: 2167, Got: 7565
Checksum failed. Expected: 1045, Got: 7565
Checksum failed. Expected: d2c9, Got: 7565
Checksum failed. Expected: d4cd, Got: 7565
Checksum failed. Expected: ad7f, Got: 7565
Checksum failed. Expected: 8127, Got: 7565
Checksum failed. Expected: 1f63, Got: 7565
Checksum failed. Expected: 750f, Got: 7565
Checksum failed. Expected: cab9, Got: 7565
Checksum failed. Expected: b289, Got: 7565
Checksum failed. Expected: ad7f, Got: 7565
Checksum failed. Expected: 8b3b, Got: 7565
Checksum failed. Expected: 3fa3, Got: 7565
Checksum failed. Expected: 1855, Got: 7565
Checksum failed. Expected: 0e41, Got: 7565
Checksum failed. Expected: 3289, Got: 7565
Checksum failed. Expected: ae81, Got: 7565
Checksum failed. Expected: 1a59, Got: 7565
Checksum failed. Expected: c2a9, Got: 7565
Checksum failed. Expected: 5cdd, Got: 7565
Checksum failed. Expected: 3ea1, Got: 7565
Checksum failed. Expected: dbdb, Got: 7565
Checksum failed. Expected: c0a5, Got: 7565
Checksum failed. Expected: a977, Got: 7565
Checksum failed. Expected: 8a39, Got: 7565
Checksum failed. Expected: bd9f, Got: 7565
Checksum failed. Expected: b691, Got: 7565
Checksum failed. Expected: f713, Got: 7565
Checksum failed. Expected: c2a9, Got: 7565
Checksum failed. Expected: bb9b, Got: 7565
Checksum failed. Expected: cbbb, Got: 7565
Checksum failed. Expected: 236b, Got: 7565
Checksum failed. Expected: 1855, Got: 7565
Checksum failed. Expected: dcdd, Got: 7565
Checksum failed. Expected: d0c5, Got: 7565
Checksum failed. Expected: 47b3, Got: 7565
Checksum failed. Expected: 65ef, Got: 7565
Checksum failed. Expected: 246d, Got: 7565
Checksum failed. Expected: a875, Got: 7565
Checksum failed. Expected: 9e61, Got: 7565
Checksum failed. Expected: 042d, Got: 7565
Checksum failed. Expected: b895, Got: 7565
Checksum failed. Expected: b187, Got: 7565
Checksum failed. Expected: 3b9b, Got: 7565
Checksum failed. Expected: 032b, Got: 7565
Checksum failed. Expected: a269, Got: 7565
Checksum failed. Expected: 1a59, Got: 7565
Checksum failed. Expected: 740d, Got: 7565
Checksum failed. Expected: b895, Got: 7565
Checksum failed. Expected: 59d7, Got: 7565
Checksum failed. Expected: 7c1d, Got: 7565
Checksum failed. Expected: 852f, Got: 7565
Checksum failed. Expected: 48b5, Got: 7565
Checksum failed. Expected: 2b7b, Got: 7565
Checksum failed. Expected: 9753, Got: 7565
Checksum failed. Expected: 44ad, Got: 7565
Checksum failed. Expected: 6cfd, Got: 7565
Checksum failed. Expected: 6bfb, Got: 7565
Checksum failed. Expected: 8937, Got: 7565
Checksum failed. Expected: 2a79, Got: 7565
Checksum failed. Expected: 9d5f, Got: 7565
Checksum failed. Expected: 3a99, Got: 7565
Checksum failed. Expected: 8835, Got: 7565
Checksum failed. Expected: 9a59, Got: 7565
Checksum failed. Expected: 6f03, Got: 7565
Checksum failed. Expected: 832b, Got: 7565
Checksum failed. Expected: 3ea1, Got: 7565
Checksum failed. Expected: 842d, Got: 7565
Checksum failed. Expected: c8b5, Got: 7565
Checksum failed. Expected: 1a59, Got: 7565
Checksum failed. Expected: 6cfd, Got: 7565
Checksum failed. Expected: 7e21, Got: 7565
Checksum failed. Expected: 2269, Got: 7565
Checksum failed. Expected: dfe3, Got: 7565
Checksum failed. Expected: 2c7d, Got: 7565
Checksum failed. Expected: 47b3, Got: 7565
Checksum failed. Expected: a875, Got: 7565
Checksum failed. Expected: 8d3f, Got: 7565
Checksum failed. Expected: b187, Got: 7565
Checksum failed. Expected: bb9b, Got: 7565
Checksum failed. Expected: e8f5, Got: 7565
Checksum failed. Expected: 49b7, Got: 7565
Checksum failed. Expected: 50c5, Got: 7565
Checksum failed. Expected: f005, Got: 7565
Checksum failed. Expected: 740d, Got: 7565
Checksum failed. Expected: 41a7, Got: 7565
Checksum failed. Expected: ee01, Got: 7565
Checksum failed. Expected: a875, Got: 7565
Checksum failed. Expected: fa19, Got: 7565
Checksum failed. Expected: 1e61, Got: 7565
Checksum failed. Expected: 59d7, Got: 7565
Checksum failed. Expected: d8d5, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: 3691, Got: 7565
Checksum failed. Expected: 358f, Got: 7565
Checksum failed. Expected: 0733, Got: 7565
Checksum failed. Expected: f713, Got: 7565
Checksum failed. Expected: 4dbf, Got: 7565
Checksum failed. Expected: 53cb, Got: 7565
Checksum failed. Expected: 2b7b, Got: 7565
Checksum failed. Expected: 1249, Got: 7565
Checksum failed. Expected: 2e81, Got: 7565
Checksum failed. Expected: d7d3, Got: 7565

Exiting...
