
#################################################################
Log started at 2025-06-12_14-08-30 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a77e, Got: 8594
Checksum failed. Expected: 4eb4, Got: 7565
Checksum failed. Expected: 3699, Got: 7565
Checksum failed. Expected: 0f43, Got: 7565
Checksum failed. Expected: 2e81, Got: 7565
Checksum failed. Expected: 56d1, Got: 7565
Checksum failed. Expected: 2167, Got: 7565
Checksum failed. Expected: 69f7, Got: 7565
Checksum failed. Expected: b793, Got: 7565
Checksum failed. Expected: 9c5d, Got: 7565
Checksum failed. Expected: b691, Got: 7565
Checksum failed. Expected: 0b3b, Got: 7565
Checksum failed. Expected: 57d3, Got: 7565
Checksum failed. Expected: 0127, Got: 7565
Checksum failed. Expected: 032b, Got: 7565
Checksum failed. Expected: 144d, Got: 7565
Checksum failed. Expected: cbbb, Got: 7565
Checksum failed. Expected: 0025, Got: 7565
Checksum failed. Expected: 1249, Got: 7565
Checksum failed. Expected: e5ef, Got: 7565
Checksum failed. Expected: 6cfd, Got: 7565
Checksum failed. Expected: f209, Got: 7565
Checksum failed. Expected: 54cd, Got: 7565
Checksum failed. Expected: 832b, Got: 7565
Checksum failed. Expected: 338b, Got: 7565
Checksum failed. Expected: 6cfd, Got: 7565
Checksum failed. Expected: 7e21, Got: 7565
Checksum failed. Expected: ebfb, Got: 7565
Checksum failed. Expected: 2e81, Got: 7565
Checksum failed. Expected: 954f, Got: 7565
Checksum failed. Expected: 45af, Got: 7565
Checksum failed. Expected: dee1, Got: 7565
Checksum failed. Expected: dfe3, Got: 7565
Checksum failed. Expected: 0937, Got: 7565
Checksum failed. Expected: 0e41, Got: 7565
Checksum failed. Expected: 56d1, Got: 7565
Checksum failed. Expected: d9d7, Got: 7565
Checksum failed. Expected: 3d9f, Got: 7565
Checksum failed. Expected: 8d3f, Got: 7565
Checksum failed. Expected: fb1b, Got: 7565
Checksum failed. Expected: 8631, Got: 7565
Checksum failed. Expected: 852f, Got: 7565
Checksum failed. Expected: 750f, Got: 7565
Checksum failed. Expected: 1753, Got: 7565
Checksum failed. Expected: dbdb, Got: 7565
Checksum failed. Expected: 5ad9, Got: 7565
Checksum failed. Expected: dcdd, Got: 7565
Checksum failed. Expected: 8229, Got: 7565
Checksum failed. Expected: e9f7, Got: 7565
Checksum failed. Expected: 3a99, Got: 7565
Checksum failed. Expected: 144d, Got: 7565
Checksum failed. Expected: 9e61, Got: 7565
Checksum failed. Expected: f611, Got: 7565
Checksum failed. Expected: 7713, Got: 7565
Checksum failed. Expected: d5cf, Got: 7565
Checksum failed. Expected: 48b5, Got: 7565
Checksum failed. Expected: e0e5, Got: 7565
Checksum failed. Expected: ee01, Got: 7565
Checksum failed. Expected: bc9d, Got: 7565
Checksum failed. Expected: 2977, Got: 7565
Checksum failed. Expected: 1249, Got: 7565
Checksum failed. Expected: cab9, Got: 7565
Checksum failed. Expected: e8f5, Got: 7565
Checksum failed. Expected: 1f63, Got: 7565
Checksum failed. Expected: e3eb, Got: 7565
Checksum failed. Expected: 57d3, Got: 7565
Checksum failed. Expected: 246d, Got: 7565
Checksum failed. Expected: 68f5, Got: 7565
Checksum failed. Expected: 9651, Got: 7565
Checksum failed. Expected: c0a5, Got: 7565
Checksum failed. Expected: ef03, Got: 7565
Checksum failed. Expected: 0937, Got: 7565
Checksum failed. Expected: 6f03, Got: 7565
Checksum failed. Expected: 8f43, Got: 7565
Checksum failed. Expected: 3085, Got: 7565
Checksum failed. Expected: 9147, Got: 7565
Checksum failed. Expected: ac7d, Got: 7565
Checksum failed. Expected: 4ab9, Got: 7565
Checksum failed. Expected: dad9, Got: 7565
Checksum failed. Expected: 1c5d, Got: 7565
Checksum failed. Expected: a46d, Got: 7565
Checksum failed. Expected: 66f1, Got: 7565
Checksum failed. Expected: fb1b, Got: 7565
Checksum failed. Expected: c8b5, Got: 7565
Checksum failed. Expected: 0b3b, Got: 7565
Checksum failed. Expected: b38b, Got: 7565
Checksum failed. Expected: 9249, Got: 7565

Exiting...
