
#################################################################
Log started at 2025-06-12_15-16-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d78e, Got: 85a0
Checksum failed. Expected: 44d3, Got: 89ba
Checksum failed. Expected: 86b5, Got: 8c49
Checksum failed. Expected: cd33, Got: 8ed9
Checksum failed. Expected: ffcb, Got: 9168
Checksum failed. Expected: a87f, Got: 93f7
Checksum failed. Expected: 0e69, Got: 9687
Checksum failed. Expected: 8f4f, Got: 9916
Checksum failed. Expected: c2f1, Got: 9ba5
Checksum failed. Expected: 657a, Got: 9e35
Checksum failed. Expected: b971, Got: a0c4
Checksum failed. Expected: 1a24, Got: a353
Checksum failed. Expected: 66d9, Got: a5e3
Checksum failed. Expected: 14c5, Got: a872
Checksum failed. Expected: cf3f, Got: ab02
Checksum failed. Expected: 8461, Got: ad91
Checksum failed. Expected: 6bd6, Got: b020
Checksum failed. Expected: 0806, Got: b2b0
Checksum failed. Expected: dc94, Got: b53f
Checksum failed. Expected: 2312, Got: b7ce
Checksum failed. Expected: 3881, Got: ba5e
Checksum failed. Expected: 94d0, Got: bced
Checksum failed. Expected: b08c, Got: bf7c
Checksum failed. Expected: 97ea, Got: c20c
Checksum failed. Expected: a5df, Got: c49b
Checksum failed. Expected: d14b, Got: c72b
Checksum failed. Expected: eccf, Got: c9ba
Checksum failed. Expected: 9279, Got: cc49
Checksum failed. Expected: e044, Got: ced9
Checksum failed. Expected: e919, Got: d168
Checksum failed. Expected: 1dc6, Got: d3f7
Checksum failed. Expected: 86d1, Got: d687
Checksum failed. Expected: 6c0e, Got: d916
Checksum failed. Expected: 267d, Got: dba5
Checksum failed. Expected: 92a9, Got: de35
Checksum failed. Expected: f866, Got: e0c4
Checksum failed. Expected: 83e7, Got: e353
Checksum failed. Expected: ede6, Got: e5e3
Checksum failed. Expected: 0560, Got: e872
Checksum failed. Expected: 31b5, Got: eb02
Checksum failed. Expected: 6762, Got: ed91
Checksum failed. Expected: cb36, Got: f020
Checksum failed. Expected: f575, Got: f2b0
Checksum failed. Expected: 50d0, Got: f53f
Checksum failed. Expected: 1081, Got: f7ce
Checksum failed. Expected: dab7, Got: fa5e
Checksum failed. Expected: 8997, Got: fced
Checksum failed. Expected: 1844, Got: ff7c
Checksum failed. Expected: 6d52, Got: 020c
Checksum failed. Expected: d618, Got: 049b
Checksum failed. Expected: 5836, Got: 072b
Checksum failed. Expected: 2db8, Got: 09ba
Checksum failed. Expected: d46d, Got: 0c49
Checksum failed. Expected: 1cf6, Got: 0ed9
Checksum failed. Expected: 12fa, Got: 1168
